,district,cell,household_head,find_hh,consent1,children_in_hh,hhmembers,name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member,name,age,gender
5,district A,cell_2,glanville,1,1.0,1.0,6.0,lucile,3.0,1.0,2.0,lucile,2.0,1.0
11,district A,cell_1,lennon,1,1.0,1.0,6.0,lorainne,3.0,1.0,1.0,lorainne,1.0,1.0
19,district A,cell_3,arlette,1,1.0,1.0,5.0,nehemiah,5.0,0.0,2.0,nehemiah,2.0,0.0
29,district A,cell_2,teresa,1,1.0,1.0,8.0,sera,3.0,1.0,1.0,sera,1.0,1.0
30,district A,cell_2,deniece,1,1.0,1.0,4.0,wymond,13.0,0.0,2.0,wymond,2.0,0.0
39,district A,cell_1,tessie,1,1.0,1.0,6.0,baylee,5.0,1.0,2.0,baylee,2.0,1.0
43,district A,cell_1,laraine,1,1.0,1.0,4.0,earlene,5.0,1.0,1.0,earlene,1.0,1.0
46,district A,cell_1,alexandrie,1,1.0,1.0,5.0,kylee,5.0,1.0,1.0,kylee,1.0,1.0
63,district A,cell_3,dave,1,1.0,1.0,5.0,luella,3.0,1.0,0.0,luella,0.0,1.0
65,district A,cell_3,sally,1,1.0,1.0,5.0,marcellin,5.0,0.0,2.0,marcellin,2.0,0.0
73,district A,cell_2,osborne,1,1.0,1.0,8.0,camden,3.0,0.0,1.0,camden,1.0,0.0
81,district A,cell_2,chesley,1,1.0,1.0,4.0,isolde,3.0,1.0,1.0,isolde,1.0,1.0
82,district A,cell_2,beverly,1,1.0,1.0,2.0,gerard,3.0,0.0,2.0,gerard,2.0,0.0
86,district A,cell_1,guiscard,1,1.0,1.0,4.0,jonathan,3.0,0.0,0.0,jonathan,0.0,0.0
104,district A,cell_3,ellis (1),1,1.0,1.0,4.0,gabriel,3.0,0.0,2.0,gabriel,2.0,0.0
110,district A,cell_3,godric,1,1.0,1.0,5.0,alea,5.0,1.0,0.0,alea,0.0,1.0
120,district A,cell_1,tiphanie,1,1.0,0.0,,liane,5.0,1.0,1.0,liane,1.0,1.0
122,district A,cell_1,portia,1,1.0,1.0,8.0,beauregard,5.0,0.0,2.0,beauregard,2.0,0.0
131,district A,cell_3,chrysanta,1,1.0,1.0,4.0,ern,3.0,0.0,2.0,ern,2.0,0.0
137,district A,cell_2,laban,1,1.0,1.0,8.0,royce,3.0,0.0,1.0,royce,1.0,0.0
142,district A,cell_2,jazmine,1,1.0,1.0,5.0,armel,3.0,0.0,2.0,armel,2.0,0.0
147,district A,cell_3,lindy,1,1.0,1.0,5.0,jayson,3.0,0.0,2.0,jayson,2.0,0.0
150,district A,cell_3,lindy,1,1.0,1.0,5.0,sunday,3.0,1.0,0.0,sunday,0.0,1.0
154,district A,cell_2,jonathon,1,1.0,1.0,6.0,waylon,3.0,0.0,2.0,waylon,2.0,0.0
159,district A,cell_2,amanda,1,1.0,1.0,4.0,leta,3.0,1.0,2.0,leta,2.0,1.0
160,district A,cell_2,amanda,1,1.0,1.0,4.0,mae,3.0,1.0,0.0,mae,0.0,1.0
175,district A,cell_2,lilith,1,1.0,1.0,6.0,lyn,5.0,1.0,2.0,lyn,2.0,1.0
184,district A,cell_2,barbra,1,1.0,1.0,5.0,tod,5.0,0.0,2.0,tod,2.0,0.0
191,district A,cell_2,anson,1,1.0,1.0,6.0,kezia,3.0,1.0,1.0,kezia,1.0,1.0
198,district A,cell_3,harlan,1,1.0,1.0,7.0,jean (2),3.0,1.0,1.0,jean (2),1.0,1.0
211,district A,cell_1,lexy,1,1.0,1.0,4.0,lesleigh,5.0,1.0,2.0,lesleigh,2.0,1.0
216,district A,cell_3,absalom,1,1.0,1.0,6.0,hazael,3.0,0.0,2.0,hazael,2.0,0.0
222,district A,cell_2,louise,1,1.0,1.0,5.0,r_gine,5.0,1.0,2.0,r_gine,2.0,1.0
230,district A,cell_1,russ,1,1.0,1.0,8.0,melba,3.0,1.0,2.0,melba,2.0,1.0
233,district A,cell_2,denny,1,1.0,1.0,5.0,everitt,3.0,0.0,1.0,everitt,1.0,0.0
236,district A,cell_2,denny,1,1.0,1.0,5.0,oluwayemisi,3.0,1.0,2.0,oluwayemisi,2.0,1.0
238,district A,cell_1,clementine,1,1.0,1.0,6.0,godwin,5.0,0.0,0.0,godwin,0.0,0.0
246,district A,cell_1,virginie,1,1.0,1.0,6.0,lovel,5.0,0.0,2.0,lovel,2.0,0.0
