,district,cell,household_head,find_hh,consent1,children_in_hh,hhmembers,name_hh_member,relation_to_hh_head,gender_hh_member,age_hh_member
0,district A,cell_2,glanville,1,1.0,1.0,6.0,glanville,1.0,0.0,64.0
1,district A,cell_2,glanville,1,1.0,1.0,6.0,jamey,3.0,0.0,11.0
2,district A,cell_2,glanville,1,1.0,1.0,6.0,jedidiah,3.0,0.0,9.0
3,district A,cell_2,glanville,1,1.0,1.0,6.0,corrie,2.0,1.0,41.0
4,district A,cell_2,glanville,1,1.0,1.0,6.0,gaenor,3.0,1.0,15.0
5,district A,cell_2,glanville,1,1.0,1.0,6.0,lucile,3.0,1.0,2.0
6,district A,cell_1,lennon,1,1.0,1.0,6.0,lennon,1.0,0.0,50.0
7,district A,cell_1,lennon,1,1.0,1.0,6.0,lothaire,3.0,0.0,5.0
8,district A,cell_1,lennon,1,1.0,1.0,6.0,josepha,2.0,1.0,44.0
9,district A,cell_1,lennon,1,1.0,1.0,6.0,maris,3.0,1.0,12.0
10,district A,cell_1,lennon,1,1.0,1.0,6.0,chastity,3.0,1.0,7.0
11,district A,cell_1,lennon,1,1.0,1.0,6.0,lorainne,3.0,1.0,1.0
12,district A,cell_1,kassia,1,1.0,1.0,5.0,luke,5.0,0.0,18.0
13,district A,cell_1,kassia,1,1.0,1.0,5.0,manley,13.0,0.0,3.0
14,district A,cell_1,kassia,1,1.0,1.0,5.0,kassia,1.0,1.0,84.0
15,district A,cell_1,kassia,1,1.0,1.0,5.0,sallie,3.0,1.0,43.0
16,district A,cell_1,kassia,1,1.0,1.0,5.0,neriah,5.0,1.0,12.0
17,district A,cell_3,arlette,1,1.0,1.0,5.0,mortimer,2.0,0.0,67.0
18,district A,cell_3,arlette,1,1.0,1.0,5.0,myron,5.0,0.0,5.0
19,district A,cell_3,arlette,1,1.0,1.0,5.0,nehemiah,5.0,0.0,2.0
20,district A,cell_3,arlette,1,1.0,1.0,5.0,arlette,1.0,1.0,66.0
21,district A,cell_3,arlette,1,1.0,1.0,5.0,kayla,3.0,1.0,25.0
22,district A,cell_2,teresa,1,1.0,1.0,8.0,opeyemi,1.0,0.0,36.0
23,district A,cell_2,teresa,1,1.0,1.0,8.0,seward,3.0,0.0,15.0
24,district A,cell_2,teresa,1,1.0,1.0,8.0,trevelyan,3.0,0.0,4.0
25,district A,cell_2,teresa,1,1.0,1.0,8.0,tiara,2.0,1.0,30.0
26,district A,cell_2,teresa,1,1.0,1.0,8.0,shyla,3.0,1.0,12.0
27,district A,cell_2,teresa,1,1.0,1.0,8.0,georgine,3.0,1.0,10.0
28,district A,cell_2,teresa,1,1.0,1.0,8.0,iona,3.0,1.0,9.0
29,district A,cell_2,teresa,1,1.0,1.0,8.0,sera,3.0,1.0,1.0
30,district A,cell_2,deniece,1,1.0,1.0,4.0,wymond,13.0,0.0,2.0
31,district A,cell_2,deniece,1,1.0,1.0,4.0,deniece,1.0,1.0,72.0
32,district A,cell_2,deniece,1,1.0,1.0,4.0,jos_e,3.0,1.0,51.0
33,district A,cell_2,deniece,1,1.0,1.0,4.0,lynda,5.0,1.0,3.0
34,district A,cell_1,tessie,1,1.0,1.0,6.0,zebulon,2.0,0.0,65.0
35,district A,cell_1,tessie,1,1.0,1.0,6.0,zuberi,3.0,0.0,13.0
36,district A,cell_1,tessie,1,1.0,1.0,6.0,tessie,1.0,1.0,47.0
37,district A,cell_1,tessie,1,1.0,1.0,6.0,holly,3.0,1.0,22.0
38,district A,cell_1,tessie,1,1.0,1.0,6.0,karenza,3.0,1.0,6.0
39,district A,cell_1,tessie,1,1.0,1.0,6.0,baylee,5.0,1.0,2.0
40,district A,cell_1,laraine,1,1.0,1.0,4.0,laraine,1.0,1.0,61.0
41,district A,cell_1,laraine,1,1.0,1.0,4.0,noella,3.0,1.0,20.0
42,district A,cell_1,laraine,1,1.0,1.0,4.0,cherilyn,3.0,1.0,37.0
43,district A,cell_1,laraine,1,1.0,1.0,4.0,earlene,5.0,1.0,1.0
44,district A,cell_1,alexandrie,1,1.0,1.0,5.0,camron,2.0,0.0,74.0
45,district A,cell_1,alexandrie,1,1.0,1.0,5.0,alexandrie,1.0,1.0,64.0
46,district A,cell_1,alexandrie,1,1.0,1.0,5.0,kylee,5.0,1.0,1.0
47,district A,cell_1,alexandrie,1,1.0,1.0,5.0,diamond,3.0,1.0,21.0
48,district A,cell_1,alexandrie,1,1.0,1.0,5.0,ige,4.0,1.0,5.0
49,district A,cell_1,rebeccah,1,1.0,1.0,5.0,dalton,1.0,0.0,48.0
50,district A,cell_1,rebeccah,1,1.0,1.0,5.0,emmanuel,3.0,0.0,14.0
51,district A,cell_1,rebeccah,1,1.0,1.0,5.0,grover,3.0,0.0,13.0
52,district A,cell_1,rebeccah,1,1.0,1.0,5.0,kobina,3.0,0.0,4.0
53,district A,cell_1,rebeccah,1,1.0,1.0,5.0,amber,3.0,1.0,17.0
54,district A,cell_3,gussie,1,1.0,1.0,5.0,baldric,3.0,0.0,7.0
55,district A,cell_3,gussie,1,1.0,1.0,5.0,gussie,1.0,1.0,35.0
56,district A,cell_3,gussie,1,1.0,1.0,5.0,edythe,3.0,1.0,11.0
57,district A,cell_3,gussie,1,1.0,1.0,5.0,eulalia,3.0,1.0,9.0
58,district A,cell_3,gussie,1,1.0,1.0,5.0,carrie,3.0,1.0,3.0
59,district A,cell_3,dave,1,1.0,1.0,5.0,dave,1.0,0.0,41.0
